Variable,date,Hour,Value
speed,01-01-2015,02:00,2.5
direction,01-01-2015,02:00,70
speed,01-01-2015,05:00,3
direction,01-01-2015,05:00,90
speed,01-01-2015,08:00,1.5
direction,01-01-2015,08:00,70
speed,01-01-2015,11:00,4.5
direction,01-01-2015,11:00,210
speed,01-01-2015,14:00,7.5
direction,01-01-2015,14:00,270
speed,01-01-2015,17:00,6.5
direction,01-01-2015,17:00,250
speed,01-01-2015,20:00,5.5
direction,01-01-2015,20:00,240
speed,01-01-2015,23:00,5
direction,01-01-2015,23:00,240
speed,02-01-2015,02:00,5.5
direction,02-01-2015,02:00,150
speed,02-01-2015,05:00,6
direction,02-01-2015,05:00,160
speed,02-01-2015,08:00,3.5
direction,02-01-2015,08:00,130
speed,02-01-2015,11:00,4.5
direction,02-01-2015,11:00,170
speed,02-01-2015,14:00,5.5
direction,02-01-2015,14:00,160
speed,02-01-2015,17:00,3.5
direction,02-01-2015,17:00,130
speed,02-01-2015,20:00,2.5
direction,02-01-2015,20:00,120
speed,02-01-2015,23:00,2
direction,02-01-2015,23:00,120
speed,03-01-2015,02:00,2.5
direction,03-01-2015,02:00,50
speed,03-01-2015,05:00,4.5
direction,03-01-2015,05:00,140
speed,03-01-2015,08:00,3
direction,03-01-2015,08:00,120
speed,03-01-2015,11:00,4
direction,03-01-2015,11:00,170
speed,03-01-2015,14:00,8
direction,03-01-2015,14:00,310
speed,03-01-2015,17:00,5.5
direction,03-01-2015,17:00,300
speed,03-01-2015,20:00,7.5
direction,03-01-2015,20:00,280
speed,03-01-2015,23:00,5.5
direction,03-01-2015,23:00,200
speed,04-01-2015,02:00,6
direction,04-01-2015,02:00,150
speed,04-01-2015,05:00,6.5
direction,04-01-2015,05:00,140
speed,04-01-2015,08:00,7
direction,04-01-2015,08:00,140
speed,04-01-2015,11:00,6.5
direction,04-01-2015,11:00,160
speed,04-01-2015,14:00,6.5
direction,04-01-2015,14:00,150
speed,04-01-2015,17:00,4.5
direction,04-01-2015,17:00,170
speed,04-01-2015,20:00,6
direction,04-01-2015,20:00,160
speed,04-01-2015,23:00,6.5
direction,04-01-2015,23:00,160
speed,05-01-2015,02:00,4
direction,05-01-2015,02:00,150
speed,05-01-2015,05:00,6.5
direction,05-01-2015,05:00,160
speed,05-01-2015,08:00,7
direction,05-01-2015,08:00,160
speed,05-01-2015,11:00,11
direction,05-01-2015,11:00,180
speed,05-01-2015,14:00,9.5
direction,05-01-2015,14:00,200
speed,05-01-2015,17:00,6
direction,05-01-2015,17:00,160
speed,05-01-2015,20:00,6
direction,05-01-2015,20:00,150
speed,05-01-2015,23:00,6.5
direction,05-01-2015,23:00,160
speed,06-01-2015,02:00,7.5
direction,06-01-2015,02:00,160
speed,06-01-2015,05:00,10
direction,06-01-2015,05:00,170
speed,06-01-2015,08:00,10
direction,06-01-2015,08:00,170
speed,06-01-2015,11:00,14
direction,06-01-2015,11:00,200
speed,06-01-2015,14:00,14.5
direction,06-01-2015,14:00,220
speed,06-01-2015,17:00,14
direction,06-01-2015,17:00,220
speed,06-01-2015,20:00,15.5
direction,06-01-2015,20:00,220
speed,06-01-2015,23:00,14.5
direction,06-01-2015,23:00,220
speed,07-01-2015,02:00,15.5
direction,07-01-2015,02:00,220
speed,07-01-2015,05:00,17
direction,07-01-2015,05:00,210
speed,07-01-2015,08:00,15.5
direction,07-01-2015,08:00,270
speed,07-01-2015,11:00,12
direction,07-01-2015,11:00,240
speed,07-01-2015,14:00,15
direction,07-01-2015,14:00,290
speed,07-01-2015,17:00,10.5
direction,07-01-2015,17:00,260
speed,07-01-2015,20:00,11.5
direction,07-01-2015,20:00,280
speed,07-01-2015,23:00,13
direction,07-01-2015,23:00,250
speed,08-01-2015,02:00,11.5
direction,08-01-2015,02:00,280
speed,08-01-2015,05:00,8.5
direction,08-01-2015,05:00,270
speed,08-01-2015,08:00,10.5
direction,08-01-2015,08:00,320
speed,08-01-2015,11:00,8
direction,08-01-2015,11:00,310
speed,08-01-2015,14:00,6.5
direction,08-01-2015,14:00,300
speed,08-01-2015,17:00,9.5
direction,08-01-2015,17:00,340
speed,08-01-2015,20:00,4.5
direction,08-01-2015,20:00,340
speed,08-01-2015,23:00,5
direction,08-01-2015,23:00,10
speed,09-01-2015,02:00,2.5
direction,09-01-2015,02:00,50
speed,09-01-2015,05:00,2
direction,09-01-2015,05:00,100
speed,09-01-2015,08:00,5
direction,09-01-2015,08:00,20
speed,09-01-2015,11:00,8.5
direction,09-01-2015,11:00,10
speed,09-01-2015,14:00,6
direction,09-01-2015,14:00,40
speed,09-01-2015,17:00,14
direction,09-01-2015,17:00,340
speed,09-01-2015,20:00,3
direction,09-01-2015,20:00,60
speed,09-01-2015,23:00,2
direction,09-01-2015,23:00,90
speed,10-01-2015,02:00,2
direction,10-01-2015,02:00,110
speed,10-01-2015,05:00,2.5
direction,10-01-2015,05:00,150
speed,10-01-2015,08:00,2
direction,10-01-2015,08:00,120
speed,10-01-2015,11:00,5
direction,10-01-2015,11:00,150
speed,10-01-2015,14:00,3
direction,10-01-2015,14:00,110
speed,10-01-2015,17:00,7
direction,10-01-2015,17:00,150
speed,10-01-2015,20:00,6.5
