,s,d,count,percent
0,0-1,0-10,1.0,0.00034328870580157915
1,0-1,10-20,2.0,0.0006865774116031583
2,0-1,20-30,4.0,0.0013731548232063166
3,0-1,30-40,2.0,0.0006865774116031583
4,0-1,40-50,9.0,0.003089598352214212
5,0-1,50-60,10.0,0.0034328870580157913
6,0-1,60-70,7.0,0.002403020940611054
7,0-1,70-80,8.0,0.0027463096464126332
8,0-1,80-90,11.0,0.0037761757638173706
9,0-1,90-100,20.0,0.006865774116031583
10,0-1,100-110,16.0,0.0054926192928252664
11,0-1,110-120,13.0,0.004462753175420529
12,0-1,120-130,5.0,0.0017164435290078957
13,0-1,130-140,4.0,0.0013731548232063166
14,0-1,140-150,2.0,0.0006865774116031583
15,0-1,150-160,1.0,0.00034328870580157915
16,0-1,160-170,2.0,0.0006865774116031583
17,0-1,170-180,1.0,0.00034328870580157915
18,0-1,180-190,2.0,0.0006865774116031583
19,0-1,190-200,1.0,0.00034328870580157915
20,0-1,200-210,3.0,0.0010298661174047373
21,0-1,210-220,2.0,0.0006865774116031583
22,0-1,220-230,2.0,0.0006865774116031583
23,0-1,230-240,5.0,0.0017164435290078957
24,0-1,240-250,2.0,0.0006865774116031583
25,0-1,250-260,2.0,0.0006865774116031583
26,0-1,260-270,2.0,0.0006865774116031583
27,0-1,270-280,5.0,0.0017164435290078957
28,0-1,280-290,1.0,0.00034328870580157915
29,0-1,290-300,1.0,0.00034328870580157915
30,0-1,300-310,3.0,0.0010298661174047373
31,0-1,310-320,1.0,0.00034328870580157915
32,0-1,320-330,0.0,0.0
33,0-1,330-340,2.0,0.0006865774116031583
34,0-1,340-350,2.0,0.0006865774116031583
35,0-1,350-360,0.0,0.0
36,1-2,0-10,5.0,0.0017164435290078957
37,1-2,10-20,2.0,0.0006865774116031583
38,1-2,20-30,7.0,0.002403020940611054
39,1-2,30-40,8.0,0.0027463096464126332
40,1-2,40-50,12.0,0.004119464469618949
41,1-2,50-60,13.0,0.004462753175420529
42,1-2,60-70,20.0,0.006865774116031583
43,1-2,70-80,25.0,0.008582217645039478
44,1-2,80-90,19.0,0.006522485410230003
45,1-2,90-100,40.0,0.013731548232063165
46,1-2,100-110,28.0,0.009612083762444216
47,1-2,110-120,42.0,0.014418125643666324
48,1-2,120-130,20.0,0.006865774116031583
49,1-2,130-140,16.0,0.0054926192928252664
50,1-2,140-150,9.0,0.003089598352214212
51,1-2,150-160,9.0,0.003089598352214212
52,1-2,160-170,4.0,0.0013731548232063166
53,1-2,170-180,2.0,0.0006865774116031583
54,1-2,180-190,6.0,0.0020597322348094747
55,1-2,190-200,5.0,0.0017164435290078957
56,1-2,200-210,9.0,0.003089598352214212
57,1-2,210-220,10.0,0.0034328870580157913
58,1-2,220-230,5.0,0.0017164435290078957
59,1-2,230-240,9.0,0.003089598352214212
60,1-2,240-250,11.0,0.0037761757638173706
61,1-2,250-260,9.0,0.003089598352214212
62,1-2,260-270,10.0,0.0034328870580157913
63,1-2,270-280,7.0,0.002403020940611054
64,1-2,280-290,9.0,0.003089598352214212
65,1-2,290-300,1.0,0.00034328870580157915
66,1-2,300-310,9.0,0.003089598352214212
67,1-2,310-320,7.0,0.002403020940611054
68,1-2,320-330,6.0,0.0020597322348094747
69,1-2,330-340,5.0,0.0017164435290078957
70,1-2,340-350,5.0,0.0017164435290078957
71,1-2,350-360,5.0,0.0017164435290078957
72,2-3,0-10,6.0,0.0020597322348094747
73,2-3,10-20,7.0,0.002403020940611054
74,2-3,20-30,6.0,0.0020597322348094747
75,2-3,30-40,5.0,0.0017164435290078957
76,2-3,40-50,15.0,0.005149330587023687
77,2-3,50-60,30.0,0.010298661174047374
78,2-3,60-70,29.0,0.009955372468245795
79,2-3,70-80,24.0,0.008238928939237899
80,2-3,80-90,16.0,0.0054926192928252664
81,2-3,90-100,19.0,0.006522485410230003
82,2-3,100-110,38.0,0.013044970820460007
83,2-3,110-120,41.0,0.014074836937864744
84,2-3,120-130,17.0,0.005835907998626845
85,2-3,130-140,9.0,0.003089598352214212
86,2-3,140-150,22.0,0.007552351527634741
87,2-3,150-160,7.0,0.002403020940611054
88,2-3,160-170,7.0,0.002403020940611054
89,2-3,170-180,2.0,0.0006865774116031583
90,2-3,180-190,6.0,0.0020597322348094747
91,2-3,190-200,11.0,0.0037761757638173706
92,2-3,200-210,11.0,0.0037761757638173706
93,2-3,210-220,12.0,0.004119464469618949
94,2-3,220-230,12.0,0.004119464469618949
95,2-3,230-240,15.0,0.005149330587023687
96,2-3,240-250,13.0,0.004462753175420529
97,2-3,250-260,20.0,0.006865774116031583
98,2-3,260-270,24.0,0.008238928939237899
99,2-3,270-280,25.0,0.008582217645039478
100,2-3,280-290,18.0,0.006179196704428424
101,2-3,290-300,17.0,0.005835907998626845
102,2-3,300-310,25.0,0.008582217645039478
103,2-3,310-320,12.0,0.004119464469618949
104,2-3,320-330,16.0,0.0054926192928252664
105,2-3,330-340,10.0,0.0034328870580157913
106,2-3,340-350,7.0,0.002403020940611054
107,2-3,350-360,5.0,0.0017164435290078957
