,s,d,count,percent
0,0-1,180-190,2.0,0.0012121212121212121
1,0-1,190-200,1.0,0.0006060606060606061
2,0-1,200-210,3.0,0.0018181818181818182
3,0-1,210-220,2.0,0.0012121212121212121
4,0-1,220-230,2.0,0.0012121212121212121
5,0-1,230-240,5.0,0.0030303030303030303
6,0-1,240-250,2.0,0.0012121212121212121
7,0-1,250-260,2.0,0.0012121212121212121
8,0-1,260-270,2.0,0.0012121212121212121
9,0-1,270-280,5.0,0.0030303030303030303
10,0-1,280-290,1.0,0.0006060606060606061
11,0-1,290-300,1.0,0.0006060606060606061
12,0-1,300-310,3.0,0.0018181818181818182
13,0-1,310-320,1.0,0.0006060606060606061
14,0-1,320-330,0.0,0.0
15,0-1,330-340,2.0,0.0012121212121212121
16,0-1,340-350,2.0,0.0012121212121212121
17,0-1,350-360,0.0,0.0
18,1-2,180-190,6.0,0.0036363636363636364
19,1-2,190-200,5.0,0.0030303030303030303
20,1-2,200-210,9.0,0.005454545454545455
21,1-2,210-220,10.0,0.006060606060606061
22,1-2,220-230,5.0,0.0030303030303030303
23,1-2,230-240,9.0,0.005454545454545455
24,1-2,240-250,11.0,0.006666666666666667
25,1-2,250-260,9.0,0.005454545454545455
26,1-2,260-270,10.0,0.006060606060606061
27,1-2,270-280,7.0,0.004242424242424243
28,1-2,280-290,9.0,0.005454545454545455
29,1-2,290-300,1.0,0.0006060606060606061
30,1-2,300-310,9.0,0.005454545454545455
31,1-2,310-320,7.0,0.004242424242424243
32,1-2,320-330,6.0,0.0036363636363636364
33,1-2,330-340,5.0,0.0030303030303030303
34,1-2,340-350,5.0,0.0030303030303030303
35,1-2,350-360,5.0,0.0030303030303030303
36,2-3,180-190,6.0,0.0036363636363636364
37,2-3,190-200,11.0,0.006666666666666667
38,2-3,200-210,11.0,0.006666666666666667
39,2-3,210-220,12.0,0.007272727272727273
40,2-3,220-230,12.0,0.007272727272727273
41,2-3,230-240,15.0,0.00909090909090909
42,2-3,240-250,13.0,0.00787878787878788
43,2-3,250-260,20.0,0.012121212121212121
44,2-3,260-270,24.0,0.014545454545454545
45,2-3,270-280,25.0,0.015151515151515152
46,2-3,280-290,18.0,0.01090909090909091
47,2-3,290-300,17.0,0.010303030303030303
48,2-3,300-310,25.0,0.015151515151515152
